implementation,security_level,chip,frequency_mhz,optimization,esp_idf,test,configuration,KYBER_90S,INDCPA,SHA_ACC,AES_ACC,keypair_ms,encapsulation_ms,decapsulation_ms
kybesp32,512,ESP32-D0WD-V3,160,-Og,v5.4.4,5,90S0_DUAL0_SHA0_AES0,0,0,0,0,7.464,10.088,11.284
kybesp32,512,ESP32-D0WD-V3,160,-Og,v5.4.4,4,90S0_DUAL0_SHA0_AES1,0,0,0,1,7.463,10.242,11.439
kybesp32,512,ESP32-D0WD-V3,160,-Og,v5.4.4,9,90S0_DUAL0_SHA1_AES0,0,0,1,0,7.461,10.085,11.281
kybesp32,512,ESP32-D0WD-V3,160,-Og,v5.4.4,12,90S0_DUAL0_SHA1_AES1,0,0,1,1,7.465,10.086,11.282
kybesp32,512,ESP32-D0WD-V3,160,-Og,v5.4.4,8,90S0_DUAL1_SHA0_AES0,0,1,0,0,5.764,7.207,8.414
kybesp32,512,ESP32-D0WD-V3,160,-Og,v5.4.4,7,90S0_DUAL1_SHA0_AES1,0,1,0,1,5.764,7.208,8.414
kybesp32,512,ESP32-D0WD-V3,160,-Og,v5.4.4,11,90S0_DUAL1_SHA1_AES0,0,1,1,0,5.764,7.204,8.409
kybesp32,512,ESP32-D0WD-V3,160,-Og,v5.4.4,15,90S0_DUAL1_SHA1_AES1,0,1,1,1,5.764,7.209,8.416
kybesp32,512,ESP32-D0WD-V3,160,-Og,v5.4.4,2,90S1_DUAL0_SHA0_AES0,1,0,0,0,18.852,21.249,23.111
kybesp32,512,ESP32-D0WD-V3,160,-Og,v5.4.4,3,90S1_DUAL0_SHA0_AES1,1,0,0,1,16.675,18.808,20.679
kybesp32,512,ESP32-D0WD-V3,160,-Og,v5.4.4,10,90S1_DUAL0_SHA1_AES0,1,0,1,0,11.717,13.762,15.754
kybesp32,512,ESP32-D0WD-V3,160,-Og,v5.4.4,14,90S1_DUAL0_SHA1_AES1,1,0,1,1,9.506,11.358,13.404
kybesp32,512,ESP32-D0WD-V3,160,-Og,v5.4.4,6,90S1_DUAL1_SHA0_AES0,1,1,0,0,14.795,16.595,18.489
kybesp32,512,ESP32-D0WD-V3,160,-Og,v5.4.4,1,90S1_DUAL1_SHA0_AES1,1,1,0,1,14.736,16.527,18.414
kybesp32,512,ESP32-D0WD-V3,160,-Og,v5.4.4,13,90S1_DUAL1_SHA1_AES0,1,1,1,0,7.700,9.167,11.189
kybesp32,512,ESP32-D0WD-V3,160,-Og,v5.4.4,16,90S1_DUAL1_SHA1_AES1,1,1,1,1,7.686,9.163,11.202
