ML-KEM,Implementation,KeyGen,Encaps,Decaps
512,SPEED,900633,959734,1101751
512,STACK_XTREME,1312863,1297128,1433532
768,SPEED_DUALCORE,895984,919390,1071052
1024,STACK,2353201,2333260,2580282
768,STACK_DUALCORE,1134687,1173374,1325200
512,SPEED_DUALCORE,595407,604102,705116
512,STACK_DUALCORE,635134,655168,758499
768,STACK,1554969,1551066,1740655
1024,STACK_XTREME,3330759,3324406,3570561
1024,SPEED,2131075,2266275,2528627
512,STACK,991390,969362,1105280
768,SPEED,1402554,1519286,1720593
768,STACK_XTREME,2103850,2111585,2300446
1024,STACK_DUALCORE,1456371,1883122,2043528
1024,SPEED_DUALCORE,1267083,1316023,1502311
